Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,T2M,GWETTOP,Precipitations_mm,VPD
2020-01-01,27.5,-7.5,15.3,38.76,8.36,,0.0,0.673
2020-01-01,27.5,-2.5,15.29,43.51,8.12,,0.0,0.611
2020-01-01,28.5,-7.5,14.59,37.83,9.05,,0.0,0.716
2020-01-01,28.5,-2.5,15.14,44.46,7.97,,0.0,0.595
2020-01-01,29.5,-7.5,15.18,40.28,10.91,,0.0,0.779
2020-01-01,29.5,-2.5,14.74,45.73,7.06,,0.0,0.546
2020-01-01,30.5,-7.5,14.81,53.04,5.4,,0.0,0.421
2020-01-01,30.5,-2.5,14.73,48.02,7.26,,0.0,0.53
2020-01-01,31.5,-7.5,13.9,53.49,7.83,,0.0,0.493
2020-01-01,31.5,-2.5,14.19,44.42,7.86,,0.0,0.591
2020-01-01,32.5,-7.5,13.21,61.44,12.45,,0.0,0.557
2020-01-01,32.5,-2.5,13.87,43.54,6.55,,0.0,0.548
2020-01-01,33.5,-7.5,12.23,77.86,13.62,,0.0,0.345
2020-01-01,33.5,-2.5,13.28,38.97,7.7,,0.0,0.641
2020-01-01,34.5,-7.5,11.02,78.9,17.22,,0.0,0.415
2020-01-01,34.5,-2.5,12.29,41.43,9.43,,0.0,0.692
2020-01-01,35.5,-7.5,11.6,79.21,16.91,,0.0,0.401
2020-01-01,35.5,-2.5,11.28,67.46,14.44,,0.0,0.535
2020-01-02,27.5,-7.5,15.45,40.21,7.87,,0.0,0.636
2020-01-02,27.5,-2.5,15.93,47.0,8.36,,0.0,0.583
2020-01-02,28.5,-7.5,15.41,33.97,8.52,,0.0,0.734
2020-01-02,28.5,-2.5,15.38,46.76,8.14,,0.0,0.577
2020-01-02,29.5,-7.5,15.12,34.74,10.75,,0.0,0.843
2020-01-02,29.5,-2.5,14.29,43.13,7.44,,0.0,0.587
2020-01-02,30.5,-7.5,14.72,44.1,6.2,,0.0,0.53
2020-01-02,30.5,-2.5,14.46,41.67,7.72,,0.0,0.614
2020-01-02,31.5,-7.5,13.84,51.93,8.93,,0.0,0.549
2020-01-02,31.5,-2.5,14.03,42.92,8.07,,0.0,0.615
2020-01-02,32.5,-7.5,12.37,70.06,12.15,,0.0,0.424
2020-01-02,32.5,-2.5,13.72,40.72,7.19,,0.0,0.602
2020-01-02,33.5,-7.5,11.93,83.91,13.14,,0.0,0.243
2020-01-02,33.5,-2.5,13.2,37.24,8.67,,0.0,0.705
2020-01-02,34.5,-7.5,7.94,77.33,16.46,,0.0,0.424
2020-01-02,34.5,-2.5,12.08,45.86,9.75,,0.0,0.654
2020-01-02,35.5,-7.5,6.53,76.39,16.66,,0.1,0.448
2020-01-02,35.5,-2.5,8.07,75.86,13.79,,0.0,0.381
2020-01-03,27.5,-7.5,15.62,40.81,8.15,,0.0,0.641
2020-01-03,27.5,-2.5,15.12,38.05,8.97,,0.0,0.71
2020-01-03,28.5,-7.5,13.49,32.88,9.9,,0.0,0.819
2020-01-03,28.5,-2.5,14.7,41.0,8.42,,0.0,0.651
2020-01-03,29.5,-7.5,13.82,30.07,12.23,,0.0,0.996
2020-01-03,29.5,-2.5,14.92,43.4,7.24,,0.0,0.576
2020-01-03,30.5,-7.5,14.21,45.55,7.15,,0.0,0.551
2020-01-03,30.5,-2.5,14.76,39.54,7.85,,0.0,0.642
2020-01-03,31.5,-7.5,13.48,60.03,9.32,,0.0,0.469
2020-01-03,31.5,-2.5,14.28,38.14,8.99,,0.0,0.71
2020-01-03,32.5,-7.5,11.89,79.83,12.13,,0.0,0.285
2020-01-03,32.5,-2.5,13.87,41.06,7.14,,0.0,0.596
2020-01-03,33.5,-7.5,11.1,82.11,14.15,,0.0,0.289
2020-01-03,33.5,-2.5,13.2,43.82,8.03,,0.0,0.604
2020-01-03,34.5,-7.5,7.19,68.51,17.1,,0.1,0.614
2020-01-03,34.5,-2.5,11.77,54.09,9.41,,0.0,0.542
2020-01-03,35.5,-7.5,4.37,66.71,17.26,,0.0,0.656
2020-01-03,35.5,-2.5,7.35,76.82,14.33,,0.0,0.379
