Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,GWETTOP,T2M,Precipitations_mm,VPD
2022-01-01,27.5,-7.5,15.63,38.58,0.3,13.56,0.0,0.954
2022-01-01,27.5,-2.5,13.77,49.05,0.1,14.46,0.0,0.839
2022-01-01,28.5,-7.5,15.16,32.34,0.22,14.8,0.0,1.139
2022-01-01,28.5,-2.5,13.21,51.09,0.12,14.21,0.0,0.793
2022-01-01,29.5,-7.5,15.17,28.72,0.23,16.16,0.0,1.309
2022-01-01,29.5,-2.5,13.59,56.12,0.22,12.67,0.0,0.643
2022-01-01,30.5,-7.5,15.12,33.67,0.39,10.51,0.0,0.843
2022-01-01,30.5,-2.5,13.67,56.23,0.27,11.81,0.0,0.606
2022-01-01,31.5,-7.5,14.24,33.25,0.46,13.24,0.0,1.016
2022-01-01,31.5,-2.5,13.32,45.85,0.2,13.04,0.0,0.813
2022-01-01,32.5,-7.5,13.53,37.2,0.4,17.26,0.0,1.237
2022-01-01,32.5,-2.5,13.57,45.91,0.31,10.85,0.0,0.703
2022-01-01,33.5,-7.5,12.87,59.07,0.52,17.09,0.0,0.798
2022-01-01,33.5,-2.5,13.12,42.46,0.33,9.54,0.0,0.685
2022-01-01,34.5,-7.5,10.77,92.52,1.0,17.89,0.0,0.153
2022-01-01,34.5,-2.5,12.09,37.37,0.36,12.52,0.0,0.909
2022-01-01,35.5,-7.5,9.08,87.66,1.0,17.7,0.0,0.25
2022-01-01,35.5,-2.5,6.82,75.69,0.71,15.54,0.0,0.429
2022-01-02,27.5,-7.5,14.85,50.03,0.3,13.55,0.0,0.776
2022-01-02,27.5,-2.5,13.02,53.42,0.1,13.58,0.0,0.725
2022-01-02,28.5,-7.5,14.41,45.07,0.22,14.34,0.0,0.898
2022-01-02,28.5,-2.5,12.47,57.27,0.12,13.11,0.0,0.645
2022-01-02,29.5,-7.5,14.94,34.12,0.22,15.9,0.0,1.19
2022-01-02,29.5,-2.5,13.11,63.85,0.22,11.89,0.0,0.503
2022-01-02,30.5,-7.5,14.85,38.29,0.38,8.87,0.0,0.702
2022-01-02,30.5,-2.5,14.65,60.01,0.26,12.01,0.0,0.561
2022-01-02,31.5,-7.5,14.12,36.51,0.46,11.92,0.0,0.886
2022-01-02,31.5,-2.5,13.75,43.83,0.2,13.68,0.0,0.879
2022-01-02,32.5,-7.5,13.42,45.23,0.4,15.55,0.0,0.968
2022-01-02,32.5,-2.5,13.63,44.34,0.31,11.17,0.0,0.739
2022-01-02,33.5,-7.5,11.77,73.41,0.53,15.47,0.0,0.467
2022-01-02,33.5,-2.5,13.32,47.25,0.33,10.44,0.0,0.667
2022-01-02,34.5,-7.5,11.55,78.37,1.0,17.56,0.0,0.434
2022-01-02,34.5,-2.5,11.96,44.32,0.36,13.22,0.0,0.846
2022-01-02,35.5,-7.5,11.24,74.96,1.0,17.32,0.0,0.495
2022-01-02,35.5,-2.5,9.04,70.39,0.71,15.47,0.0,0.52
2022-01-03,27.5,-7.5,14.8,48.87,0.3,12.19,0.0,0.726
2022-01-03,27.5,-2.5,14.23,47.38,0.1,12.71,0.0,0.773
2022-01-03,28.5,-7.5,14.31,43.13,0.21,13.14,0.0,0.86
2022-01-03,28.5,-2.5,13.71,49.36,0.12,12.67,0.0,0.742
2022-01-03,29.5,-7.5,15.49,33.25,0.22,15.42,0.0,1.169
2022-01-03,29.5,-2.5,15.13,56.26,0.22,10.89,0.0,0.57
2022-01-03,30.5,-7.5,15.37,42.29,0.37,8.45,0.0,0.638
2022-01-03,30.5,-2.5,14.89,54.75,0.26,10.41,0.0,0.571
2022-01-03,31.5,-7.5,14.49,40.8,0.46,10.79,0.0,0.766
2022-01-03,31.5,-2.5,14.54,38.74,0.2,12.82,0.0,0.907
2022-01-03,32.5,-7.5,13.24,44.83,0.4,14.93,0.0,0.937
2022-01-03,32.5,-2.5,14.15,39.88,0.31,10.43,0.0,0.76
2022-01-03,33.5,-7.5,11.32,68.96,0.52,14.75,0.0,0.521
2022-01-03,33.5,-2.5,13.59,41.66,0.33,10.06,0.0,0.719
2022-01-03,34.5,-7.5,11.86,73.44,1.0,17.41,0.0,0.528
2022-01-03,34.5,-2.5,12.39,39.85,0.36,13.1,0.0,0.907
2022-01-03,35.5,-7.5,11.83,74.32,1.0,17.6,0.0,0.517
2022-01-03,35.5,-2.5,9.16,62.26,0.7,15.97,0.0,0.685
2022-01-04,27.5,-7.5,15.96,41.27,0.3,12.6,0.0,0.857
2022-01-04,27.5,-2.5,15.53,42.15,0.1,12.6,0.0,0.844
2022-01-04,28.5,-7.5,15.41,37.56,0.21,13.12,0.0,0.943
2022-01-04,28.5,-2.5,15.0,42.51,0.11,12.69,0.0,0.844
2022-01-04,29.5,-7.5,15.28,33.26,0.21,14.53,0.0,1.104
2022-01-04,29.5,-2.5,15.35,45.01,0.21,11.48,0.0,0.745
2022-01-04,30.5,-7.5,14.81,43.19,0.36,8.0,0.0,0.609
2022-01-04,30.5,-2.5,14.64,47.75,0.26,10.14,0.0,0.648
2022-01-04,31.5,-7.5,13.23,51.55,0.45,8.42,0.0,0.535
2022-01-04,31.5,-2.5,13.98,38.37,0.2,11.15,0.0,0.817
2022-01-04,32.5,-7.5,11.45,55.86,0.4,13.18,0.0,0.669
2022-01-04,32.5,-2.5,14.29,44.04,0.3,8.84,0.0,0.636
2022-01-04,33.5,-7.5,10.65,76.12,0.53,13.78,0.6,0.376
2022-01-04,33.5,-2.5,13.43,45.06,0.33,10.38,0.0,0.692
2022-01-04,34.5,-7.5,10.59,84.1,1.0,16.86,0.1,0.305
2022-01-04,34.5,-2.5,11.7,47.87,0.36,12.29,0.0,0.745
2022-01-04,35.5,-7.5,10.24,83.35,1.0,17.19,0.0,0.327
2022-01-04,35.5,-2.5,10.85,73.11,0.69,16.28,0.0,0.498
2022-01-05,27.5,-7.5,16.28,36.98,0.29,13.53,0.0,0.977
2022-01-05,27.5,-2.5,16.26,33.48,0.1,13.79,0.0,1.049
2022-01-05,28.5,-7.5,15.73,32.3,0.2,14.23,0.0,1.098
2022-01-05,28.5,-2.5,15.74,37.59,0.11,13.34,0.0,0.956
2022-01-05,29.5,-7.5,15.24,34.06,0.21,14.13,0.0,1.063
2022-01-05,29.5,-2.5,14.96,44.04,0.21,12.05,0.0,0.787
2022-01-05,30.5,-7.5,15.36,47.94,0.36,6.69,0.0,0.511
2022-01-05,30.5,-2.5,14.12,43.35,0.25,10.49,0.0,0.719
2022-01-05,31.5,-7.5,14.47,71.65,0.45,6.07,0.0,0.266
2022-01-05,31.5,-2.5,13.79,46.17,0.19,9.77,0.0,0.651
2022-01-05,32.5,-7.5,12.92,75.07,0.41,11.71,0.5,0.343
2022-01-05,32.5,-2.5,13.78,63.49,0.3,6.05,0.0,0.343
2022-01-05,33.5,-7.5,12.43,76.7,0.53,13.42,0.1,0.359
2022-01-05,33.5,-2.5,13.14,70.96,0.34,6.11,0.2,0.274
2022-01-05,34.5,-7.5,11.68,72.4,1.0,16.33,0.4,0.513
2022-01-05,34.5,-2.5,12.34,75.49,0.38,8.01,1.6,0.263
2022-01-05,35.5,-7.5,11.28,73.41,1.0,16.19,0.1,0.489
2022-01-05,35.5,-2.5,10.69,72.26,0.7,15.11,0.1,0.476
2022-01-06,27.5,-7.5,15.54,33.31,0.29,14.17,0.0,1.078
2022-01-06,27.5,-2.5,15.58,32.56,0.1,13.86,0.0,1.068
2022-01-06,28.5,-7.5,15.57,29.73,0.2,13.98,0.0,1.122
2022-01-06,28.5,-2.5,15.01,40.08,0.11,13.0,0.0,0.897
2022-01-06,29.5,-7.5,15.22,27.64,0.2,14.9,0.0,1.226
2022-01-06,29.5,-2.5,15.28,40.01,0.21,10.9,0.0,0.782
