Date,LAT,LON,ALLSKY_SFC_SW_DWN,RH2M,GWETTOP_x,T2M_x,T2M_y,GWETTOP_y,T2M,GWETTOP
2020-01-01,27.5,-7.5,15.3,38.76,0.22,,8.36,,8.36,
2020-01-01,27.5,-2.5,15.29,43.51,0.08,,8.12,,8.12,
2020-01-01,28.5,-7.5,14.59,37.83,0.18,,9.05,,9.05,
2020-01-01,28.5,-2.5,15.14,44.46,0.07,,7.97,,7.97,
2020-01-01,29.5,-7.5,15.18,40.28,0.26,,10.91,,10.91,
2020-01-01,29.5,-2.5,14.74,45.73,0.08,,7.06,,7.06,
2020-01-01,30.5,-7.5,14.81,53.04,0.47,,5.4,,5.4,
2020-01-01,30.5,-2.5,14.73,48.02,0.12,,7.26,,7.26,
2020-01-01,31.5,-7.5,13.9,53.49,0.49,,7.83,,7.83,
2020-01-01,31.5,-2.5,14.19,44.42,0.3,,7.86,,7.86,
2020-01-01,32.5,-7.5,13.21,61.44,0.46,,12.45,,12.45,
2020-01-01,32.5,-2.5,13.87,43.54,0.35,,6.55,,6.55,
2020-01-01,33.5,-7.5,12.23,77.86,0.61,,13.62,,13.62,
2020-01-01,33.5,-2.5,13.28,38.97,0.35,,7.7,,7.7,
2020-01-01,34.5,-7.5,11.02,78.9,1.0,,17.22,,17.22,
2020-01-01,34.5,-2.5,12.29,41.43,0.39,,9.43,,9.43,
2020-01-01,35.5,-7.5,11.6,79.21,1.0,,16.91,,16.91,
2020-01-01,35.5,-2.5,11.28,67.46,0.77,,14.44,,14.44,
2020-01-02,27.5,-7.5,15.45,40.21,0.21,,7.87,,7.87,
2020-01-02,27.5,-2.5,15.93,47.0,0.08,,8.36,,8.36,
2020-01-02,28.5,-7.5,15.41,33.97,0.17,,8.52,,8.52,
2020-01-02,28.5,-2.5,15.38,46.76,0.07,,8.14,,8.14,
2020-01-02,29.5,-7.5,15.12,34.74,0.25,,10.75,,10.75,
2020-01-02,29.5,-2.5,14.29,43.13,0.08,,7.44,,7.44,
2020-01-02,30.5,-7.5,14.72,44.1,0.47,,6.2,,6.2,
2020-01-02,30.5,-2.5,14.46,41.67,0.12,,7.72,,7.72,
2020-01-02,31.5,-7.5,13.84,51.93,0.49,,8.93,,8.93,
2020-01-02,31.5,-2.5,14.03,42.92,0.3,,8.07,,8.07,
2020-01-02,32.5,-7.5,12.37,70.06,0.46,,12.15,,12.15,
2020-01-02,32.5,-2.5,13.72,40.72,0.35,,7.19,,7.19,
2020-01-02,33.5,-7.5,11.93,83.91,0.61,,13.14,,13.14,
2020-01-02,33.5,-2.5,13.2,37.24,0.35,,8.67,,8.67,
2020-01-02,34.5,-7.5,7.94,77.33,1.0,,16.46,,16.46,
2020-01-02,34.5,-2.5,12.08,45.86,0.39,,9.75,,9.75,
2020-01-02,35.5,-7.5,6.53,76.39,1.0,,16.66,,16.66,
2020-01-02,35.5,-2.5,8.07,75.86,0.77,,13.79,,13.79,
2020-01-03,27.5,-7.5,15.62,40.81,0.21,,8.15,,8.15,
2020-01-03,27.5,-2.5,15.12,38.05,0.08,,8.97,,8.97,
2020-01-03,28.5,-7.5,13.49,32.88,0.17,,9.9,,9.9,
2020-01-03,28.5,-2.5,14.7,41.0,0.07,,8.42,,8.42,
2020-01-03,29.5,-7.5,13.82,30.07,0.24,,12.23,,12.23,
2020-01-03,29.5,-2.5,14.92,43.4,0.08,,7.24,,7.24,
2020-01-03,30.5,-7.5,14.21,45.55,0.47,,7.15,,7.15,
2020-01-03,30.5,-2.5,14.76,39.54,0.12,,7.85,,7.85,
2020-01-03,31.5,-7.5,13.48,60.03,0.49,,9.32,,9.32,
2020-01-03,31.5,-2.5,14.28,38.14,0.29,,8.99,,8.99,
2020-01-03,32.5,-7.5,11.89,79.83,0.46,,12.13,,12.13,
2020-01-03,32.5,-2.5,13.87,41.06,0.35,,7.14,,7.14,
2020-01-03,33.5,-7.5,11.1,82.11,0.61,,14.15,,14.15,
2020-01-03,33.5,-2.5,13.2,43.82,0.35,,8.03,,8.03,
2020-01-03,34.5,-7.5,7.19,68.51,1.0,,17.1,,17.1,
2020-01-03,34.5,-2.5,11.77,54.09,0.39,,9.41,,9.41,
2020-01-03,35.5,-7.5,4.37,66.71,1.0,,17.26,,17.26,
2020-01-03,35.5,-2.5,7.35,76.82,0.77,,14.33,,14.33,
2020-01-04,27.5,-7.5,15.97,35.22,0.21,,8.17,,8.17,
2020-01-04,27.5,-2.5,13.54,35.3,0.08,,8.51,,8.51,
2020-01-04,28.5,-7.5,15.2,29.72,0.17,,9.81,,9.81,
2020-01-04,28.5,-2.5,14.1,34.76,0.07,,8.18,,8.18,
2020-01-04,29.5,-7.5,14.97,31.02,0.24,,11.95,,11.95,
2020-01-04,29.5,-2.5,14.85,34.4,0.08,,7.63,,7.63,
2020-01-04,30.5,-7.5,14.77,48.77,0.47,,6.5,,6.5,
2020-01-04,30.5,-2.5,14.83,34.49,0.12,,8.68,,8.68,
2020-01-04,31.5,-7.5,13.89,56.61,0.49,,8.88,,8.88,
2020-01-04,31.5,-2.5,14.4,37.57,0.29,,9.07,,9.07,
2020-01-04,32.5,-7.5,12.6,83.23,0.46,,11.26,,11.26,
2020-01-04,32.5,-2.5,13.86,45.71,0.35,,6.61,,6.61,
2020-01-04,33.5,-7.5,11.4,82.99,0.61,,13.93,,13.93,
