Date,LAT,LON,NDWI,nb_images
2020-01-01,27.5,-7.5,-0.0708,12
2020-02-01,27.5,-7.5,-0.0782,12
2020-03-01,27.5,-7.5,-0.0849,10
2020-04-01,27.5,-7.5,-0.0896,11
2020-05-01,27.5,-7.5,-0.097,13
2020-06-01,27.5,-7.5,-0.1099,9
2020-07-01,27.5,-7.5,-0.1135,10
2020-08-01,27.5,-7.5,-0.1095,9
2020-09-01,27.5,-7.5,-0.1085,10
2020-10-01,27.5,-7.5,-0.091,8
2020-11-01,27.5,-7.5,-0.1001,8
2020-12-01,27.5,-7.5,-0.0816,8
2021-01-01,27.5,-7.5,-0.0805,12
2021-02-01,27.5,-7.5,-0.0767,10
2021-03-01,27.5,-7.5,-0.0848,10
2021-04-01,27.5,-7.5,-0.0877,9
2021-05-01,27.5,-7.5,-0.0901,7
2021-06-01,27.5,-7.5,-0.1009,8
2021-07-01,27.5,-7.5,-0.0995,7
2021-08-01,27.5,-7.5,-0.107,12
2021-09-01,27.5,-7.5,-0.1007,7
2021-10-01,27.5,-7.5,-0.0904,10
2021-11-01,27.5,-7.5,-0.0858,9
2021-12-01,27.5,-7.5,-0.0855,9
2022-01-01,27.5,-7.5,-0.0815,8
2022-02-01,27.5,-7.5,-0.0849,7
2022-03-01,27.5,-7.5,-0.086,8
2022-04-01,27.5,-7.5,-0.0805,11
2022-05-01,27.5,-7.5,-0.0862,7
2022-06-01,27.5,-7.5,-0.0947,7
2022-07-01,27.5,-7.5,-0.1023,10
2022-08-01,27.5,-7.5,-0.1072,9
2022-09-01,27.5,-7.5,-0.1022,9
2022-10-01,27.5,-7.5,-0.0935,9
2022-11-01,27.5,-7.5,-0.0851,9
2022-12-01,27.5,-7.5,-0.0899,10
2023-01-01,27.5,-7.5,-0.0749,10
2023-02-01,27.5,-7.5,-0.0815,5
2023-03-01,27.5,-7.5,-0.0855,9
2023-04-01,27.5,-7.5,-0.0876,10
2023-05-01,27.5,-7.5,-0.0862,10
2023-06-01,27.5,-7.5,-0.0971,11
2023-07-01,27.5,-7.5,-0.1012,11
2023-08-01,27.5,-7.5,-0.1018,12
2023-09-01,27.5,-7.5,-0.1055,6
2023-10-01,27.5,-7.5,-0.0981,8
2023-11-01,27.5,-7.5,-0.0864,11
2023-12-01,27.5,-7.5,-0.0801,10
2024-01-01,27.5,-7.5,-0.0777,9
2024-02-01,27.5,-7.5,-0.0785,8
2024-03-01,27.5,-7.5,-0.0809,9
2024-04-01,27.5,-7.5,-0.0824,9
2024-05-01,27.5,-7.5,-0.0811,10
2024-06-01,27.5,-7.5,-0.0922,10
2024-07-01,27.5,-7.5,-0.1003,11
2024-08-01,27.5,-7.5,-0.1086,9
2024-09-01,27.5,-7.5,-0.1148,7
2024-10-01,27.5,-7.5,-0.1027,9
2024-11-01,27.5,-7.5,-0.095,6
2024-12-01,27.5,-7.5,-0.0821,9
2025-01-01,27.5,-7.5,-0.0763,10
2025-02-01,27.5,-7.5,-0.0788,10
2025-03-01,27.5,-7.5,-0.0869,14
2025-04-01,27.5,-7.5,-0.0844,8
2025-05-01,27.5,-7.5,-0.092,7
2025-06-01,27.5,-7.5,-0.1011,11
2025-07-01,27.5,-7.5,-0.1061,16
2025-08-01,27.5,-7.5,-0.1087,11
2025-09-01,27.5,-7.5,-0.1036,10
2025-10-01,27.5,-7.5,-0.1005,10
2025-11-01,27.5,-7.5,-0.0915,13
2025-12-01,27.5,-7.5,-0.084,13
2020-01-01,27.5,-2.5,-0.0846,14
2020-02-01,27.5,-2.5,-0.0945,11
2020-03-01,27.5,-2.5,-0.0942,12
2020-04-01,27.5,-2.5,-0.1066,9
2020-05-01,27.5,-2.5,-0.102,11
2020-06-01,27.5,-2.5,-0.118,9
2020-07-01,27.5,-2.5,-0.1227,11
2020-08-01,27.5,-2.5,-0.1309,11
2020-09-01,27.5,-2.5,-0.1302,11
2020-10-01,27.5,-2.5,-0.1094,12
2020-11-01,27.5,-2.5,-0.1085,9
2020-12-01,27.5,-2.5,-0.0953,11
2021-01-01,27.5,-2.5,-0.0946,9
2021-02-01,27.5,-2.5,-0.0849,9
2021-03-01,27.5,-2.5,-0.0951,10
2021-04-01,27.5,-2.5,-0.0996,8
2021-05-01,27.5,-2.5,-0.1086,6
2021-06-01,27.5,-2.5,-0.1181,7
2021-07-01,27.5,-2.5,-0.11,13
2021-08-01,27.5,-2.5,-0.1147,12
2021-09-01,27.5,-2.5,-0.1179,11
2021-10-01,27.5,-2.5,-0.1057,11
2021-11-01,27.5,-2.5,-0.1054,10
2021-12-01,27.5,-2.5,-0.1004,10
2022-01-01,27.5,-2.5,-0.0905,7
2022-02-01,27.5,-2.5,-0.0909,6
2022-03-01,27.5,-2.5,-0.0954,11
2022-04-01,27.5,-2.5,-0.097,11
2022-05-01,27.5,-2.5,-0.1023,9
2022-06-01,27.5,-2.5,-0.1129,10
2022-07-01,27.5,-2.5,-0.1135,12
2022-08-01,27.5,-2.5,-0.1146,11
2022-09-01,27.5,-2.5,-0.1228,10
2022-10-01,27.5,-2.5,-0.1018,6
2022-11-01,27.5,-2.5,-0.0973,11
2022-12-01,27.5,-2.5,-0.0978,11
2023-01-01,27.5,-2.5,-0.0878,11
2023-02-01,27.5,-2.5,-0.0937,6
2023-03-01,27.5,-2.5,-0.0955,12
2023-04-01,27.5,-2.5,-0.1004,11
2023-05-01,27.5,-2.5,-0.1085,8
2023-06-01,27.5,-2.5,-0.1094,12
2023-07-01,27.5,-2.5,-0.1146,10
2023-08-01,27.5,-2.5,-0.1181,12
2023-09-01,27.5,-2.5,-0.1145,7
2023-10-01,27.5,-2.5,-0.1094,9
