-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
27.5,-9.5,2022,1,16.31
27.5,-8.5,2022,1,16.24
27.5,-7.5,2022,1,15.63
27.5,-6.5,2022,1,14.52
27.5,-5.5,2022,1,14.57
27.5,-4.5,2022,1,13.95
27.5,-3.5,2022,1,13.64
27.5,-2.5,2022,1,13.77
27.5,-1.5,2022,1,13.82
28.5,-9.5,2022,1,15.72
28.5,-8.5,2022,1,15.67
28.5,-7.5,2022,1,15.16
28.5,-6.5,2022,1,14.06
28.5,-5.5,2022,1,13.93
28.5,-4.5,2022,1,13.38
28.5,-3.5,2022,1,13.31
28.5,-2.5,2022,1,13.21
28.5,-1.5,2022,1,13.33
29.5,-9.5,2022,1,15.26
29.5,-8.5,2022,1,15.34
29.5,-7.5,2022,1,15.17
29.5,-6.5,2022,1,15.0
29.5,-5.5,2022,1,13.93
29.5,-4.5,2022,1,14.59
29.5,-3.5,2022,1,14.52
29.5,-2.5,2022,1,13.59
29.5,-1.5,2022,1,13.99
30.5,-9.5,2022,1,14.53
30.5,-8.5,2022,1,14.76
30.5,-7.5,2022,1,15.12
30.5,-6.5,2022,1,14.76
30.5,-5.5,2022,1,14.51
30.5,-4.5,2022,1,13.82
30.5,-3.5,2022,1,13.78
30.5,-2.5,2022,1,13.67
30.5,-1.5,2022,1,14.17
31.5,-9.5,2022,1,13.74
31.5,-8.5,2022,1,14.09
31.5,-7.5,2022,1,14.24
31.5,-6.5,2022,1,14.26
31.5,-5.5,2022,1,14.45
31.5,-4.5,2022,1,13.23
31.5,-3.5,2022,1,12.88
31.5,-2.5,2022,1,13.32
31.5,-1.5,2022,1,13.4
32.5,-9.5,2022,1,13.04
32.5,-8.5,2022,1,13.38
32.5,-7.5,2022,1,13.53
32.5,-6.5,2022,1,13.6
32.5,-5.5,2022,1,13.91
32.5,-4.5,2022,1,13.78
32.5,-3.5,2022,1,13.55
32.5,-2.5,2022,1,13.57
32.5,-1.5,2022,1,13.4
33.5,-9.5,2022,1,12.47
33.5,-8.5,2022,1,12.46
33.5,-7.5,2022,1,12.87
33.5,-6.5,2022,1,13.03
33.5,-5.5,2022,1,13.23
33.5,-4.5,2022,1,13.17
33.5,-3.5,2022,1,13.21
33.5,-2.5,2022,1,13.12
33.5,-1.5,2022,1,13.11
34.5,-9.5,2022,1,11.52
34.5,-8.5,2022,1,11.48
34.5,-7.5,2022,1,10.77
34.5,-6.5,2022,1,11.06
34.5,-5.5,2022,1,12.49
34.5,-4.5,2022,1,12.59
34.5,-3.5,2022,1,12.38
34.5,-2.5,2022,1,12.09
34.5,-1.5,2022,1,12.31
35.5,-9.5,2022,1,10.69
35.5,-8.5,2022,1,11.13
35.5,-7.5,2022,1,9.08
35.5,-6.5,2022,1,10.06
35.5,-5.5,2022,1,9.81
35.5,-4.5,2022,1,5.5
35.5,-3.5,2022,1,5.9
35.5,-2.5,2022,1,6.82
35.5,-1.5,2022,1,7.85
27.5,-9.5,2022,2,14.9
27.5,-8.5,2022,2,15.69
27.5,-7.5,2022,2,14.85
27.5,-6.5,2022,2,12.55
27.5,-5.5,2022,2,12.69
27.5,-4.5,2022,2,12.18
27.5,-3.5,2022,2,12.12
27.5,-2.5,2022,2,13.02
27.5,-1.5,2022,2,13.02
28.5,-9.5,2022,2,14.27
28.5,-8.5,2022,2,15.15
28.5,-7.5,2022,2,14.41
28.5,-6.5,2022,2,12.16
28.5,-5.5,2022,2,12.47
28.5,-4.5,2022,2,11.79
28.5,-3.5,2022,2,11.82
28.5,-2.5,2022,2,12.47
28.5,-1.5,2022,2,12.56
29.5,-9.5,2022,2,14.96
29.5,-8.5,2022,2,14.99
29.5,-7.5,2022,2,14.94
29.5,-6.5,2022,2,14.22
29.5,-5.5,2022,2,14.36
29.5,-4.5,2022,2,13.64
29.5,-3.5,2022,2,14.41
29.5,-2.5,2022,2,13.11
29.5,-1.5,2022,2,13.25
30.5,-9.5,2022,2,14.41
30.5,-8.5,2022,2,14.65
30.5,-7.5,2022,2,14.85
30.5,-6.5,2022,2,14.77
30.5,-5.5,2022,2,14.27
30.5,-4.5,2022,2,14.67
30.5,-3.5,2022,2,14.75
30.5,-2.5,2022,2,14.65
30.5,-1.5,2022,2,14.66
31.5,-9.5,2022,2,13.95
31.5,-8.5,2022,2,14.24
31.5,-7.5,2022,2,14.12
31.5,-6.5,2022,2,14.39
31.5,-5.5,2022,2,14.51
31.5,-4.5,2022,2,14.26
31.5,-3.5,2022,2,13.37
31.5,-2.5,2022,2,13.75
31.5,-1.5,2022,2,14.0
32.5,-9.5,2022,2,12.98
32.5,-8.5,2022,2,13.47
32.5,-7.5,2022,2,13.42
32.5,-6.5,2022,2,13.63
32.5,-5.5,2022,2,13.7
32.5,-4.5,2022,2,13.9
32.5,-3.5,2022,2,13.73
32.5,-2.5,2022,2,13.63
32.5,-1.5,2022,2,13.66
33.5,-9.5,2022,2,12.1
33.5,-8.5,2022,2,11.82
33.5,-7.5,2022,2,11.77
33.5,-6.5,2022,2,12.95
33.5,-5.5,2022,2,13.06
