-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
27.5,-9.5,2025,1,15.66
27.5,-8.5,2025,1,15.82
27.5,-7.5,2025,1,15.62
27.5,-6.5,2025,1,15.55
27.5,-5.5,2025,1,15.34
27.5,-4.5,2025,1,15.59
27.5,-3.5,2025,1,15.68
27.5,-2.5,2025,1,14.37
27.5,-1.5,2025,1,14.34
28.5,-9.5,2025,1,14.73
28.5,-8.5,2025,1,14.92
28.5,-7.5,2025,1,14.86
28.5,-6.5,2025,1,14.69
28.5,-5.5,2025,1,14.34
28.5,-4.5,2025,1,14.87
28.5,-3.5,2025,1,15.11
28.5,-2.5,2025,1,13.78
28.5,-1.5,2025,1,13.49
29.5,-9.5,2025,1,13.84
29.5,-8.5,2025,1,13.94
29.5,-7.5,2025,1,14.24
29.5,-6.5,2025,1,14.03
29.5,-5.5,2025,1,13.39
29.5,-4.5,2025,1,14.18
29.5,-3.5,2025,1,14.56
29.5,-2.5,2025,1,12.54
29.5,-1.5,2025,1,10.85
30.5,-9.5,2025,1,13.35
30.5,-8.5,2025,1,13.19
30.5,-7.5,2025,1,13.1
30.5,-6.5,2025,1,13.66
30.5,-5.5,2025,1,14.08
30.5,-4.5,2025,1,13.99
30.5,-3.5,2025,1,13.95
30.5,-2.5,2025,1,11.67
30.5,-1.5,2025,1,11.11
31.5,-9.5,2025,1,13.27
31.5,-8.5,2025,1,13.28
31.5,-7.5,2025,1,13.2
31.5,-6.5,2025,1,13.08
31.5,-5.5,2025,1,13.19
31.5,-4.5,2025,1,13.51
31.5,-3.5,2025,1,13.18
31.5,-2.5,2025,1,11.32
31.5,-1.5,2025,1,10.75
32.5,-9.5,2025,1,12.5
32.5,-8.5,2025,1,12.7
32.5,-7.5,2025,1,13.06
32.5,-6.5,2025,1,12.88
32.5,-5.5,2025,1,11.28
32.5,-4.5,2025,1,12.25
32.5,-3.5,2025,1,12.02
32.5,-2.5,2025,1,8.36
32.5,-1.5,2025,1,6.47
33.5,-9.5,2025,1,11.51
33.5,-8.5,2025,1,11.66
33.5,-7.5,2025,1,12.41
33.5,-6.5,2025,1,12.48
33.5,-5.5,2025,1,12.41
33.5,-4.5,2025,1,11.52
33.5,-3.5,2025,1,10.1
33.5,-2.5,2025,1,6.59
33.5,-1.5,2025,1,5.4
34.5,-9.5,2025,1,11.06
34.5,-8.5,2025,1,11.71
34.5,-7.5,2025,1,11.91
34.5,-6.5,2025,1,11.68
34.5,-5.5,2025,1,11.91
34.5,-4.5,2025,1,11.62
34.5,-3.5,2025,1,9.57
34.5,-2.5,2025,1,8.08
34.5,-1.5,2025,1,7.51
35.5,-9.5,2025,1,10.37
35.5,-8.5,2025,1,10.89
35.5,-7.5,2025,1,11.35
35.5,-6.5,2025,1,11.35
35.5,-5.5,2025,1,11.13
35.5,-4.5,2025,1,10.22
35.5,-3.5,2025,1,8.18
35.5,-2.5,2025,1,6.94
35.5,-1.5,2025,1,7.87
27.5,-9.5,2025,2,15.58
27.5,-8.5,2025,2,15.87
27.5,-7.5,2025,2,15.89
27.5,-6.5,2025,2,15.6
27.5,-5.5,2025,2,15.6
27.5,-4.5,2025,2,14.22
27.5,-3.5,2025,2,14.11
27.5,-2.5,2025,2,13.61
27.5,-1.5,2025,2,13.58
28.5,-9.5,2025,2,14.96
28.5,-8.5,2025,2,15.28
28.5,-7.5,2025,2,15.36
28.5,-6.5,2025,2,15.05
28.5,-5.5,2025,2,14.97
28.5,-4.5,2025,2,13.73
28.5,-3.5,2025,2,13.6
28.5,-2.5,2025,2,13.06
28.5,-1.5,2025,2,12.63
29.5,-9.5,2025,2,14.52
29.5,-8.5,2025,2,14.94
29.5,-7.5,2025,2,14.94
29.5,-6.5,2025,2,14.81
29.5,-5.5,2025,2,14.86
29.5,-4.5,2025,2,13.68
29.5,-3.5,2025,2,13.55
29.5,-2.5,2025,2,11.85
29.5,-1.5,2025,2,11.28
30.5,-9.5,2025,2,13.79
30.5,-8.5,2025,2,14.17
30.5,-7.5,2025,2,14.67
30.5,-6.5,2025,2,14.61
30.5,-5.5,2025,2,14.45
30.5,-4.5,2025,2,13.72
30.5,-3.5,2025,2,13.65
30.5,-2.5,2025,2,12.1
30.5,-1.5,2025,2,12.22
31.5,-9.5,2025,2,13.61
31.5,-8.5,2025,2,13.8
31.5,-7.5,2025,2,14.08
31.5,-6.5,2025,2,13.99
31.5,-5.5,2025,2,13.51
31.5,-4.5,2025,2,13.26
31.5,-3.5,2025,2,12.97
31.5,-2.5,2025,2,11.42
31.5,-1.5,2025,2,11.12
32.5,-9.5,2025,2,13.11
32.5,-8.5,2025,2,13.43
32.5,-7.5,2025,2,13.05
32.5,-6.5,2025,2,13.27
32.5,-5.5,2025,2,12.79
32.5,-4.5,2025,2,12.22
32.5,-3.5,2025,2,10.28
32.5,-2.5,2025,2,6.97
32.5,-1.5,2025,2,6.79
33.5,-9.5,2025,2,12.6
33.5,-8.5,2025,2,12.5
33.5,-7.5,2025,2,12.65
33.5,-6.5,2025,2,12.48
33.5,-5.5,2025,2,12.73
33.5,-4.5,2025,2,12.15
33.5,-3.5,2025,2,10.92
33.5,-2.5,2025,2,8.66
33.5,-1.5,2025,2,7.01
34.5,-9.5,2025,2,12.14
34.5,-8.5,2025,2,12.15
34.5,-7.5,2025,2,12.32
34.5,-6.5,2025,2,11.59
34.5,-5.5,2025,2,11.96
34.5,-4.5,2025,2,11.86
34.5,-3.5,2025,2,11.79
34.5,-2.5,2025,2,10.77
34.5,-1.5,2025,2,8.76
35.5,-9.5,2025,2,11.44
35.5,-8.5,2025,2,11.61
35.5,-7.5,2025,2,11.62
35.5,-6.5,2025,2,11.48
35.5,-5.5,2025,2,11.19
35.5,-4.5,2025,2,10.48
35.5,-3.5,2025,2,10.44
35.5,-2.5,2025,2,9.27
35.5,-1.5,2025,2,8.47
27.5,-9.5,2025,3,15.12
27.5,-8.5,2025,3,15.18
27.5,-7.5,2025,3,15.13
27.5,-6.5,2025,3,14.75
27.5,-5.5,2025,3,14.81
27.5,-4.5,2025,3,14.86
27.5,-3.5,2025,3,14.79
27.5,-2.5,2025,3,15.05
27.5,-1.5,2025,3,15.05
28.5,-9.5,2025,3,14.43
28.5,-8.5,2025,3,14.52
28.5,-7.5,2025,3,14.58
28.5,-6.5,2025,3,14.2
28.5,-5.5,2025,3,14.15
28.5,-4.5,2025,3,14.35
28.5,-3.5,2025,3,14.31
28.5,-2.5,2025,3,14.59
28.5,-1.5,2025,3,13.64
29.5,-9.5,2025,3,14.31
29.5,-8.5,2025,3,14.67
29.5,-7.5,2025,3,14.75
29.5,-6.5,2025,3,14.85
29.5,-5.5,2025,3,14.92
29.5,-4.5,2025,3,14.79
29.5,-3.5,2025,3,14.77
29.5,-2.5,2025,3,14.6
29.5,-1.5,2025,3,14.4
30.5,-9.5,2025,3,12.65
30.5,-8.5,2025,3,13.74
30.5,-7.5,2025,3,14.24
30.5,-6.5,2025,3,14.56
30.5,-5.5,2025,3,14.56
30.5,-4.5,2025,3,14.56
30.5,-3.5,2025,3,14.51
30.5,-2.5,2025,3,14.41
30.5,-1.5,2025,3,14.59
31.5,-9.5,2025,3,11.99
31.5,-8.5,2025,3,12.71
31.5,-7.5,2025,3,13.27
31.5,-6.5,2025,3,13.94
31.5,-5.5,2025,3,13.38
31.5,-4.5,2025,3,14.11
31.5,-3.5,2025,3,14.16
31.5,-2.5,2025,3,14.04
31.5,-1.5,2025,3,13.36
32.5,-9.5,2025,3,11.33
32.5,-8.5,2025,3,12.55
32.5,-7.5,2025,3,12.6
32.5,-6.5,2025,3,13.29
32.5,-5.5,2025,3,12.82
32.5,-4.5,2025,3,13.06
32.5,-3.5,2025,3,13.54
32.5,-2.5,2025,3,13.74
32.5,-1.5,2025,3,13.1
33.5,-9.5,2025,3,10.22
33.5,-8.5,2025,3,11.41
33.5,-7.5,2025,3,12.03
33.5,-6.5,2025,3,11.45
33.5,-5.5,2025,3,12.07
33.5,-4.5,2025,3,12.55
33.5,-3.5,2025,3,12.36
33.5,-2.5,2025,3,12.78
33.5,-1.5,2025,3,12.59
34.5,-9.5,2025,3,10.53
34.5,-8.5,2025,3,11.01
34.5,-7.5,2025,3,10.78
34.5,-6.5,2025,3,9.74
34.5,-5.5,2025,3,10.27
34.5,-4.5,2025,3,10.7
34.5,-3.5,2025,3,12.09
34.5,-2.5,2025,3,12.24
34.5,-1.5,2025,3,12.19
35.5,-9.5,2025,3,9.49
35.5,-8.5,2025,3,8.44
35.5,-7.5,2025,3,8.72
35.5,-6.5,2025,3,8.84
35.5,-5.5,2025,3,10.46
35.5,-4.5,2025,3,10.55
35.5,-3.5,2025,3,10.81
35.5,-2.5,2025,3,11.02
35.5,-1.5,2025,3,11.22
27.5,-9.5,2025,4,15.18
27.5,-8.5,2025,4,15.47
27.5,-7.5,2025,4,15.78
27.5,-6.5,2025,4,15.92
27.5,-5.5,2025,4,15.96
27.5,-4.5,2025,4,16.16
27.5,-3.5,2025,4,16.03
27.5,-2.5,2025,4,15.98
27.5,-1.5,2025,4,15.99
28.5,-9.5,2025,4,13.59
28.5,-8.5,2025,4,14.48
28.5,-7.5,2025,4,14.66
28.5,-6.5,2025,4,14.82
28.5,-5.5,2025,4,14.81
28.5,-4.5,2025,4,15.61
28.5,-3.5,2025,4,15.49
28.5,-2.5,2025,4,15.56
28.5,-1.5,2025,4,15.46
29.5,-9.5,2025,4,13.15
29.5,-8.5,2025,4,12.62
29.5,-7.5,2025,4,12.74
29.5,-6.5,2025,4,13.57
29.5,-5.5,2025,4,14.19
29.5,-4.5,2025,4,14.55
29.5,-3.5,2025,4,14.84
29.5,-2.5,2025,4,14.92
29.5,-1.5,2025,4,15.08
30.5,-9.5,2025,4,12.03
30.5,-8.5,2025,4,12.44
30.5,-7.5,2025,4,12.74
30.5,-6.5,2025,4,12.93
30.5,-5.5,2025,4,13.68
30.5,-4.5,2025,4,13.78
30.5,-3.5,2025,4,14.59
30.5,-2.5,2025,4,14.06
30.5,-1.5,2025,4,14.69
31.5,-9.5,2025,4,10.69
31.5,-8.5,2025,4,10.75
31.5,-7.5,2025,4,11.57
31.5,-6.5,2025,4,12.51
31.5,-5.5,2025,4,12.5
31.5,-4.5,2025,4,13.99
31.5,-3.5,2025,4,14.09
31.5,-2.5,2025,4,14.18
31.5,-1.5,2025,4,13.68
32.5,-9.5,2025,4,9.42
32.5,-8.5,2025,4,9.82
32.5,-7.5,2025,4,10.72
32.5,-6.5,2025,4,11.81
32.5,-5.5,2025,4,12.53
32.5,-4.5,2025,4,13.2
32.5,-3.5,2025,4,13.59
32.5,-2.5,2025,4,13.69
32.5,-1.5,2025,4,13.73
33.5,-9.5,2025,4,9.69
33.5,-8.5,2025,4,10.1
33.5,-7.5,2025,4,10.77
33.5,-6.5,2025,4,11.14
33.5,-5.5,2025,4,12.2
33.5,-4.5,2025,4,12.52
33.5,-3.5,2025,4,12.66
33.5,-2.5,2025,4,12.95
33.5,-1.5,2025,4,13.24
34.5,-9.5,2025,4,9.91
34.5,-8.5,2025,4,10.19
34.5,-7.5,2025,4,10.35
34.5,-6.5,2025,4,10.52
34.5,-5.5,2025,4,10.52
34.5,-4.5,2025,4,10.91
34.5,-3.5,2025,4,10.88
34.5,-2.5,2025,4,10.86
34.5,-1.5,2025,4,11.81
35.5,-9.5,2025,4,9.32
35.5,-8.5,2025,4,9.45
