-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
27.0,-10.0,2022,1,30.19
27.0,-9.375,2022,1,33.16
27.0,-8.75,2022,1,34.01
27.0,-8.125,2022,1,33.96
27.0,-7.5,2022,1,34.87
27.0,-6.875,2022,1,34.83
27.0,-6.25,2022,1,36.65
27.0,-5.625,2022,1,38.1
27.0,-5.0,2022,1,38.93
27.0,-4.375,2022,1,40.74
27.0,-3.75,2022,1,42.87
27.0,-3.125,2022,1,45.71
27.0,-2.5,2022,1,46.87
27.0,-1.875,2022,1,45.15
27.0,-1.25,2022,1,41.46
27.5,-10.0,2022,1,32.93
27.5,-9.375,2022,1,34.88
27.5,-8.75,2022,1,35.96
27.5,-8.125,2022,1,36.02
27.5,-7.5,2022,1,38.58
27.5,-6.875,2022,1,36.31
27.5,-6.25,2022,1,38.39
27.5,-5.625,2022,1,41.23
27.5,-5.0,2022,1,42.22
27.5,-4.375,2022,1,42.7
27.5,-3.75,2022,1,44.8
27.5,-3.125,2022,1,47.59
27.5,-2.5,2022,1,49.05
27.5,-1.875,2022,1,48.66
27.5,-1.25,2022,1,45.25
28.0,-10.0,2022,1,32.21
28.0,-9.375,2022,1,31.22
28.0,-8.75,2022,1,32.34
28.0,-8.125,2022,1,33.79
28.0,-7.5,2022,1,34.89
28.0,-6.875,2022,1,35.48
28.0,-6.25,2022,1,37.61
28.0,-5.625,2022,1,40.73
28.0,-5.0,2022,1,42.6
28.0,-4.375,2022,1,44.11
28.0,-3.75,2022,1,45.89
28.0,-3.125,2022,1,48.5
28.0,-2.5,2022,1,50.39
28.0,-1.875,2022,1,51.43
28.0,-1.25,2022,1,49.71
28.5,-10.0,2022,1,29.98
28.5,-9.375,2022,1,27.8
28.5,-8.75,2022,1,29.16
28.5,-8.125,2022,1,31.66
28.5,-7.5,2022,1,32.34
28.5,-6.875,2022,1,33.85
28.5,-6.25,2022,1,35.97
28.5,-5.625,2022,1,38.65
28.5,-5.0,2022,1,40.84
28.5,-4.375,2022,1,43.46
28.5,-3.75,2022,1,46.35
28.5,-3.125,2022,1,49.44
28.5,-2.5,2022,1,51.09
28.5,-1.875,2022,1,54.02
28.5,-1.25,2022,1,54.33
29.0,-10.0,2022,1,27.64
29.0,-9.375,2022,1,25.94
29.0,-8.75,2022,1,26.83
29.0,-8.125,2022,1,28.94
29.0,-7.5,2022,1,31.15
29.0,-6.875,2022,1,33.08
29.0,-6.25,2022,1,36.41
29.0,-5.625,2022,1,39.16
29.0,-5.0,2022,1,40.68
29.0,-4.375,2022,1,43.11
29.0,-3.75,2022,1,46.5
29.0,-3.125,2022,1,50.43
29.0,-2.5,2022,1,53.04
29.0,-1.875,2022,1,57.24
29.0,-1.25,2022,1,57.43
29.5,-10.0,2022,1,40.85
29.5,-9.375,2022,1,30.28
29.5,-8.75,2022,1,30.46
29.5,-8.125,2022,1,28.82
29.5,-7.5,2022,1,28.72
29.5,-6.875,2022,1,32.59
29.5,-6.25,2022,1,35.75
