-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
LAT,LON,YEAR,DOY,GWETTOP
27.0,-10.0,2023,1,0.47
27.0,-9.375,2023,1,0.42
27.0,-8.75,2023,1,0.44
27.0,-8.125,2023,1,0.41
27.0,-7.5,2023,1,0.41
27.0,-6.875,2023,1,0.42
27.0,-6.25,2023,1,0.25
27.0,-5.625,2023,1,0.18
27.0,-5.0,2023,1,0.22
27.0,-4.375,2023,1,0.19
27.0,-3.75,2023,1,0.35
27.0,-3.125,2023,1,0.21
27.0,-2.5,2023,1,0.11
27.0,-1.875,2023,1,0.09
27.0,-1.25,2023,1,0.09
27.5,-10.0,2023,1,0.55
27.5,-9.375,2023,1,0.43
27.5,-8.75,2023,1,0.36
27.5,-8.125,2023,1,0.41
27.5,-7.5,2023,1,0.35
27.5,-6.875,2023,1,0.4
27.5,-6.25,2023,1,0.3
27.5,-5.625,2023,1,0.17
27.5,-5.0,2023,1,0.14
27.5,-4.375,2023,1,0.13
27.5,-3.75,2023,1,0.25
27.5,-3.125,2023,1,0.12
27.5,-2.5,2023,1,0.1
27.5,-1.875,2023,1,0.09
27.5,-1.25,2023,1,0.09
28.0,-10.0,2023,1,0.59
28.0,-9.375,2023,1,0.42
28.0,-8.75,2023,1,0.33
28.0,-8.125,2023,1,0.37
28.0,-7.5,2023,1,0.35
28.0,-6.875,2023,1,0.36
28.0,-6.25,2023,1,0.26
28.0,-5.625,2023,1,0.16
28.0,-5.0,2023,1,0.13
28.0,-4.375,2023,1,0.12
28.0,-3.75,2023,1,0.11
28.0,-3.125,2023,1,0.1
28.0,-2.5,2023,1,0.09
28.0,-1.875,2023,1,0.08
28.0,-1.25,2023,1,0.07
28.5,-10.0,2023,1,0.61
28.5,-9.375,2023,1,0.39
28.5,-8.75,2023,1,0.23
28.5,-8.125,2023,1,0.22
28.5,-7.5,2023,1,0.3
28.5,-6.875,2023,1,0.24
28.5,-6.25,2023,1,0.2
28.5,-5.625,2023,1,0.21
28.5,-5.0,2023,1,0.16
28.5,-4.375,2023,1,0.11
28.5,-3.75,2023,1,0.11
28.5,-3.125,2023,1,0.1
28.5,-2.5,2023,1,0.1
28.5,-1.875,2023,1,0.1
28.5,-1.25,2023,1,0.08
29.0,-10.0,2023,1,0.55
29.0,-9.375,2023,1,0.4
29.0,-8.75,2023,1,0.26
29.0,-8.125,2023,1,0.19
29.0,-7.5,2023,1,0.23
29.0,-6.875,2023,1,0.19
29.0,-6.25,2023,1,0.18
29.0,-5.625,2023,1,0.19
29.0,-5.0,2023,1,0.19
29.0,-4.375,2023,1,0.15
29.0,-3.75,2023,1,0.15
29.0,-3.125,2023,1,0.11
29.0,-2.5,2023,1,0.11
29.0,-1.875,2023,1,0.11
29.0,-1.25,2023,1,0.09
29.5,-10.0,2023,1,0.61
29.5,-9.375,2023,1,0.51
29.5,-8.75,2023,1,0.4
29.5,-8.125,2023,1,0.24
29.5,-7.5,2023,1,0.25
29.5,-6.875,2023,1,0.19
29.5,-6.25,2023,1,0.16
29.5,-5.625,2023,1,0.18
29.5,-5.0,2023,1,0.18
29.5,-4.375,2023,1,0.18
29.5,-3.75,2023,1,0.23
29.5,-3.125,2023,1,0.19
29.5,-2.5,2023,1,0.23
29.5,-1.875,2023,1,0.17
29.5,-1.25,2023,1,0.09
30.0,-10.0,2023,1,0.71
30.0,-9.375,2023,1,0.47
30.0,-8.75,2023,1,0.47
30.0,-8.125,2023,1,0.34
30.0,-7.5,2023,1,0.37
30.0,-6.875,2023,1,0.21
