-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
27.0,-10.0,2024,1,18.34
27.0,-9.375,2024,1,18.57
27.0,-8.75,2024,1,17.64
27.0,-8.125,2024,1,16.8
27.0,-7.5,2024,1,16.08
27.0,-6.875,2024,1,16.17
27.0,-6.25,2024,1,16.12
27.0,-5.625,2024,1,15.93
27.0,-5.0,2024,1,15.97
27.0,-4.375,2024,1,15.44
27.0,-3.75,2024,1,14.86
27.0,-3.125,2024,1,14.17
27.0,-2.5,2024,1,13.54
27.0,-1.875,2024,1,13.38
27.0,-1.25,2024,1,13.41
27.5,-10.0,2024,1,16.95
27.5,-9.375,2024,1,17.54
27.5,-8.75,2024,1,17.5
27.5,-8.125,2024,1,16.34
27.5,-7.5,2024,1,15.36
27.5,-6.875,2024,1,15.3
27.5,-6.25,2024,1,14.87
27.5,-5.625,2024,1,14.54
27.5,-5.0,2024,1,14.69
27.5,-4.375,2024,1,14.71
27.5,-3.75,2024,1,14.46
27.5,-3.125,2024,1,13.95
27.5,-2.5,2024,1,13.51
27.5,-1.875,2024,1,13.13
27.5,-1.25,2024,1,13.1
28.0,-10.0,2024,1,16.87
28.0,-9.375,2024,1,16.75
28.0,-8.75,2024,1,17.01
28.0,-8.125,2024,1,16.45
28.0,-7.5,2024,1,16.02
28.0,-6.875,2024,1,15.31
28.0,-6.25,2024,1,14.58
28.0,-5.625,2024,1,14.09
28.0,-5.0,2024,1,14.1
28.0,-4.375,2024,1,14.17
28.0,-3.75,2024,1,14.34
28.0,-3.125,2024,1,14.25
28.0,-2.5,2024,1,13.95
28.0,-1.875,2024,1,13.33
28.0,-1.25,2024,1,13.17
28.5,-10.0,2024,1,17.03
28.5,-9.375,2024,1,17.22
28.5,-8.75,2024,1,17.23
