-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
27.0,-10.0,2023,1,13.76
27.0,-9.375,2023,1,12.61
27.0,-8.75,2023,1,12.31
27.0,-8.125,2023,1,12.67
27.0,-7.5,2023,1,13.06
27.0,-6.875,2023,1,13.36
27.0,-6.25,2023,1,14.54
27.0,-5.625,2023,1,14.92
27.0,-5.0,2023,1,15.23
27.0,-4.375,2023,1,15.15
27.0,-3.75,2023,1,14.07
27.0,-3.125,2023,1,14.16
27.0,-2.5,2023,1,13.24
27.0,-1.875,2023,1,12.99
27.0,-1.25,2023,1,13.24
27.5,-10.0,2023,1,11.53
27.5,-9.375,2023,1,11.72
27.5,-8.75,2023,1,11.98
27.5,-8.125,2023,1,12.09
27.5,-7.5,2023,1,12.42
27.5,-6.875,2023,1,12.5
27.5,-6.25,2023,1,13.17
27.5,-5.625,2023,1,13.61
27.5,-5.0,2023,1,13.89
27.5,-4.375,2023,1,14.27
27.5,-3.75,2023,1,13.66
27.5,-3.125,2023,1,13.36
27.5,-2.5,2023,1,12.65
27.5,-1.875,2023,1,12.5
27.5,-1.25,2023,1,13.08
28.0,-10.0,2023,1,11.78
28.0,-9.375,2023,1,12.28
28.0,-8.75,2023,1,12.67
28.0,-8.125,2023,1,12.84
28.0,-7.5,2023,1,13.06
28.0,-6.875,2023,1,12.6
28.0,-6.25,2023,1,12.82
28.0,-5.625,2023,1,12.85
28.0,-5.0,2023,1,13.01
28.0,-4.375,2023,1,13.44
28.0,-3.75,2023,1,13.45
28.0,-3.125,2023,1,12.97
28.0,-2.5,2023,1,12.73
28.0,-1.875,2023,1,12.59
28.0,-1.25,2023,1,12.97
28.5,-10.0,2023,1,12.58
28.5,-9.375,2023,1,14.04
28.5,-8.75,2023,1,14.36
28.5,-8.125,2023,1,13.51
28.5,-7.5,2023,1,13.26
28.5,-6.875,2023,1,13.29
