-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
27.0,-10.0,2025,1,12.95
27.0,-9.375,2025,1,12.69
27.0,-8.75,2025,1,12.74
27.0,-8.125,2025,1,12.62
27.0,-7.5,2025,1,11.94
27.0,-6.875,2025,1,11.59
27.0,-6.25,2025,1,11.03
27.0,-5.625,2025,1,10.45
27.0,-5.0,2025,1,10.28
27.0,-4.375,2025,1,9.88
27.0,-3.75,2025,1,9.6
27.0,-3.125,2025,1,9.48
27.0,-2.5,2025,1,9.44
27.0,-1.875,2025,1,9.52
27.0,-1.25,2025,1,9.94
27.5,-10.0,2025,1,12.05
27.5,-9.375,2025,1,11.77
27.5,-8.75,2025,1,12.28
27.5,-8.125,2025,1,12.45
27.5,-7.5,2025,1,11.63
27.5,-6.875,2025,1,11.37
27.5,-6.25,2025,1,10.84
27.5,-5.625,2025,1,10.13
27.5,-5.0,2025,1,9.93
27.5,-4.375,2025,1,9.74
27.5,-3.75,2025,1,9.45
27.5,-3.125,2025,1,9.34
27.5,-2.5,2025,1,9.43
27.5,-1.875,2025,1,9.52
27.5,-1.25,2025,1,9.92
28.0,-10.0,2025,1,12.29
28.0,-9.375,2025,1,11.75
28.0,-8.75,2025,1,11.57
28.0,-8.125,2025,1,11.81
28.0,-7.5,2025,1,11.88
28.0,-6.875,2025,1,11.31
28.0,-6.25,2025,1,10.69
28.0,-5.625,2025,1,10.03
28.0,-5.0,2025,1,9.68
28.0,-4.375,2025,1,9.44
28.0,-3.75,2025,1,9.41
28.0,-3.125,2025,1,9.31
28.0,-2.5,2025,1,9.49
28.0,-1.875,2025,1,9.62
28.0,-1.25,2025,1,10.09
28.5,-10.0,2025,1,12.67
28.5,-9.375,2025,1,12.85
28.5,-8.75,2025,1,12.38
28.5,-8.125,2025,1,11.25
28.5,-7.5,2025,1,11.31
28.5,-6.875,2025,1,11.06
28.5,-6.25,2025,1,10.99
28.5,-5.625,2025,1,10.45
28.5,-5.0,2025,1,9.81
28.5,-4.375,2025,1,9.3
28.5,-3.75,2025,1,9.15
28.5,-3.125,2025,1,9.06
28.5,-2.5,2025,1,9.41
28.5,-1.875,2025,1,9.52
28.5,-1.25,2025,1,9.91
29.0,-10.0,2025,1,12.56
29.0,-9.375,2025,1,11.17
29.0,-8.75,2025,1,12.57
29.0,-8.125,2025,1,12.11
29.0,-7.5,2025,1,11.22
29.0,-6.875,2025,1,11.02
29.0,-6.25,2025,1,10.97
29.0,-5.625,2025,1,10.21
29.0,-5.0,2025,1,9.57
29.0,-4.375,2025,1,8.98
29.0,-3.75,2025,1,8.75
29.0,-3.125,2025,1,8.52
29.0,-2.5,2025,1,8.82
29.0,-1.875,2025,1,9.15
29.0,-1.25,2025,1,9.78
29.5,-10.0,2025,1,14.01
29.5,-9.375,2025,1,9.53
29.5,-8.75,2025,1,8.77
29.5,-8.125,2025,1,11.07
29.5,-7.5,2025,1,11.96
29.5,-6.875,2025,1,11.28
29.5,-6.25,2025,1,10.61
29.5,-5.625,2025,1,10.17
29.5,-5.0,2025,1,9.43
29.5,-4.375,2025,1,8.75
29.5,-3.75,2025,1,8.47
29.5,-3.125,2025,1,7.9
29.5,-2.5,2025,1,8.22
29.5,-1.875,2025,1,8.72
29.5,-1.25,2025,1,9.22
30.0,-10.0,2025,1,16.97
30.0,-9.375,2025,1,12.72
30.0,-8.75,2025,1,8.08
30.0,-8.125,2025,1,7.18
30.0,-7.5,2025,1,9.07
30.0,-6.875,2025,1,10.25
